Time [s],Loss of capacity to negative SEI [A.h],Loss of capacity to positive SEI [A.h],Loss of capacity to positive SEI on cracks [A.h],Loss of capacity to positive lithium plating [A.h]
0.0,0.0,-8.673617379884035e-19,0.0,0.0
60.0,6.864348966056661e-07,1.4569211524723819e-06,2.7556873219482455e-06,0.00017002283245280445
120.0,1.3733563544507106e-06,2.904316467892444e-06,5.493405064981549e-06,0.00031678832708319693
180.0,2.060279648593579e-06,4.351265230734605e-06,8.230298430198389e-06,0.0004437083393355659
240.0,2.747198081971445e-06,5.798994113842895e-06,1.096869507596603e-05,0.0005536891938663627
300.0,3.434120064909669e-06,7.2584352187547024e-06,1.3729240501743138e-05,0.0006510661843298763
360.0,4.121035169629223e-06,8.711475534322645e-06,1.647771788955969e-05,0.0007341440800991988
420.0,4.8079396575245975e-06,1.018743419819914e-05,1.9269553620234642e-05,0.0008107254400466331
480.0,5.494849754042019e-06,1.1678623396533389e-05,2.2090200446221535e-05,0.0008802539423546065
540.0,6.1817595439035895e-06,1.3177900329131194e-05,2.4926152029888144e-05,0.0009423066409962541
600.0,6.868671265181884e-06,1.468338195962076e-05,2.7773844883149218e-05,0.00099753786938206
660.0,7.555577842091306e-06,1.6193408412009357e-05,3.0630147997609485e-05,0.0010464850217338883
720.0,8.242491946770938e-06,1.7703015135946305e-05,3.348564903742705e-05,0.0010889837250314363
780.0,8.929405334658357e-06,1.9219884368973893e-05,3.635489632806909e-05,0.0011275477445903822
840.0,9.616301273066306e-06,2.0736100387243155e-05,3.922294620175345e-05,0.0011608523827620464
900.0,1.030318321740712e-05,2.2260874497750764e-05,4.210719224966534e-05,0.0011917665935812466
960.0,1.0990078745523341e-05,2.3806079759293268e-05,4.5030067216201884e-05,0.0012233492846121935
1020.0,1.1676975177948824e-05,2.5361332605494148e-05,4.79719473235377e-05,0.0012531451982635171
1080.0,1.2363876513818954e-05,2.6922067470662274e-05,5.092419805191966e-05,0.0012804075590368818
1140.0,1.3050763146874055e-05,2.8484991944481043e-05,5.388061430781047e-05,0.001304619927154507
1200.0,1.3737654559719896e-05,3.0058021093438102e-05,5.685613086381762e-05,0.0013281584674844347
1260.0,1.4424549249498716e-05,3.164081190112043e-05,5.985011413748338e-05,0.0013509413084022003
1320.0,1.5111429860650193e-05,3.322565593838738e-05,6.2848008187662e-05,0.001371294164605024
1380.0,1.5798308589669687e-05,3.482591185242304e-05,6.587504580888585e-05,0.0013927236275113422
1440.0,1.6485189118255292e-05,3.643645806539111e-05,6.892155543874449e-05,0.0014138387410107974
1500.0,1.717205645127099e-05,3.804766598734712e-05,7.196933419057716e-05,0.0014324085372338744
1560.0,1.78589322660752e-05,3.967024603894996e-05,7.503860836663093e-05,0.0014514416408283831
1620.0,1.854581041552125e-05,4.130438083464142e-05,7.812973419928112e-05,0.0014708102253256964
1680.0,1.9232697005869005e-05,4.294834062254331e-05,8.123943447662808e-05,0.00149018848860777
1740.0,1.9919586789725042e-05,4.4595080476684916e-05,8.435438906580019e-05,0.0015078113613344057
1800.0,2.0606479450462485e-05,4.6244447634491946e-05,8.747431291486767e-05,0.0015239268245698973
1860.0,2.129337483933023e-05,4.789743697743414e-05,9.060108488572537e-05,0.0015389659412389314
1920.0,2.1980258229157597e-05,4.95556181538603e-05,9.373770246818787e-05,0.001553323471314769
1980.0,2.26671336514118e-05,5.1208472100360176e-05,9.686425285510243e-05,0.0015646355735169709
2040.0,2.335400684639287e-05,5.2875012705142464e-05,0.00010001669378707334,0.0015778764013045286
2100.0,2.4040878958967967e-05,5.454178253713141e-05,0.00010316957044300674,0.0015895267413697442
2160.0,2.472775258402778e-05,5.621321354595376e-05,0.00010633126439525154,0.00160091822253902
2220.0,2.5414618450054946e-05,5.7887222559125165e-05,0.00010949784637642088,0.001611493703491982
2280.0,2.6101483184811633e-05,5.956311846962593e-05,0.00011266799856212192,0.0016212483127272111
2340.0,2.6788350970713214e-05,6.12430831069509e-05,0.00011584584180624263,0.0016308391958541066
2400.0,2.7475220950326778e-05,6.293224107976631e-05,0.00011904106802175479,0.0016415354256565518
2460.0,2.8162100804471845e-05,6.463136924484119e-05,0.00012225513770586574,0.0016534189639828627
2520.0,2.8848985671370552e-05,6.633142713890518e-05,0.00012547095932118613,0.0016640686060006421
2580.0,2.9535869447878434e-05,6.803189289848136e-05,0.00012868756186920372,0.001673596868340621
2640.0,3.0222762561084667e-05,6.972889318766252e-05,0.00013189758646714873,0.0016811300751714156
2700.0,3.090965314268886e-05,7.142755401359172e-05,0.00013511076777147544,0.0016882051418189775
2760.0,3.159654771873812e-05,7.312162814886083e-05,0.00013831525957585673,0.001693286698071706
2820.0,3.228343998744592e-05,7.481694132599904e-05,0.00014152210245917465,0.0016980960044431664
2880.0,3.29703508886003e-05,7.650299233699556e-05,0.00014471139363336674,0.0017001153148321919
2940.0,3.36572574582322e-05,7.819411116248651e-05,0.00014791028552601913,0.0017031595020245921
3000.0,3.4344178283395325e-05,7.986916152550889e-05,0.000151078751867507,0.00170189399424875
3060.0,3.503111067154063e-05,8.15381824222517e-05,0.0001542358099925324,0.0016994797037460227
3120.0,3.5718029319215444e-05,8.321658086672679e-05,0.0001574106149365151,0.0016994738917854412
3180.0,3.640496118339069e-05,8.487637642159464e-05,0.00016055022024355465,0.0016950904336594107
3240.0,3.709190896976567e-05,8.653036219141014e-05,0.00016367880337061978,0.0016897779804575638
3300.0,3.777885960411139e-05,8.816083717974859e-05,0.00016676292281231087,0.001679386238105808
3360.0,3.846584547406934e-05,8.978521816250824e-05,0.00016983544664314265,0.001668921041620889
3420.0,3.915282633171224e-05,9.137553896980573e-05,0.00017284357451630554,0.0016511928897376333
3480.0,3.98398368968531e-05,9.296762737961376e-05,0.00017585497968570891,0.0016365245113266033
3540.0,4.0526875412371944e-05,9.452158927721662e-05,0.00017879422891621625,0.0016139579718788375
3600.0,4.1213950346211055e-05,9.604429784008765e-05,0.00018167431547973714,0.0015870068559229677
3660.0,4.1901027353277986e-05,9.756257469655753e-05,0.00018454601967801646,0.0015622840646696225
