Time [s],Loss of capacity to negative SEI [A.h],Loss of capacity to positive SEI [A.h],Loss of capacity to positive SEI on cracks [A.h],Loss of capacity to positive lithium plating [A.h]
0.0,0.0,-8.673617379884035e-19,0.0,0.0
60.0,2.745714791231509e-06,5.825576437142911e-06,1.1018713423075092e-05,0.0001699404231187832
120.0,5.4933746196969406e-06,1.1613201291424229e-05,2.196583537462421e-05,0.00031663808910040235
180.0,8.241040605742867e-06,1.7398979114583747e-05,3.2909543890163775e-05,0.0004434970605985355
240.0,1.0988685795629077e-05,2.3188178644997608e-05,4.385983469249183e-05,0.0005534371097099837
300.0,1.3736344317289638e-05,2.902401723826626e-05,5.489832185897114e-05,0.0006507680419005663
360.0,1.6483973670127107e-05,3.483445581010328e-05,6.588892136465616e-05,0.000733816722384204
420.0,1.923155981438981e-05,4.073682511449017e-05,7.70534378994094e-05,0.0008103865063327554
480.0,2.1979167144564588e-05,4.6699947560194244e-05,8.833287755711601e-05,0.0008798979226242134
540.0,2.4726772038483633e-05,5.269539705712433e-05,9.967348961689592e-05,0.0009419362815187974
600.0,2.7474383318888798e-05,5.871573518990633e-05,0.00011106119795455452,0.0009971502129320397
660.0,3.0221972898752833e-05,6.475412493116891e-05,0.000122483104336699,0.0010460878380897265
720.0,3.29695915820929e-05,7.079100275936018e-05,0.00013390211744467736,0.0010885903096284916
780.0,3.571720582198104e-05,7.685696666378909e-05,0.0001453761829713226,0.0011271613258391994
840.0,3.846474843560645e-05,8.292017731558778e-05,0.0001568451933134518,0.001160466440351286
900.0,4.1212234930338175e-05,8.901834048751466e-05,0.00016838034682639804,0.0011914256627418836
960.0,4.395977434617319e-05,9.519812813265065e-05,0.000180069825328806,0.0012230446604917153
1020.0,4.670731629492626e-05,0.00010141780167226451,0.00019183474624913087,0.0012528586492899486
1080.0,4.945487599964689e-05,0.00010765946119924413,0.00020364125945324956,0.0012801428170774584
1140.0,5.22023756897216e-05,0.00011390975764150046,0.00021546420298439246,0.00130436966516447
1200.0,5.4949893938444284e-05,0.0001202011503427516,0.00022736482693977702,0.001327965461279008
1260.0,5.769742339405864e-05,0.0001265308831266054,0.00023933798106406484,0.0013507598848884735
1320.0,6.044489466631913e-05,0.00013286929664471214,0.00025132766217870925,0.0013711536551917255
1380.0,6.319235845709151e-05,0.0001392698491453903,0.0002634348433838526,0.0013926527604856465
1440.0,6.5939826939015e-05,0.00014571082640077622,0.00027561852031027294,0.0014137885531125829
1500.0,6.868724198066663e-05,0.00015215443526541122,0.00028780724180931964,0.001432380109027512
1560.0,7.143468997259381e-05,0.00015864456575441412,0.00030008389773434534,0.0014514977923546155
1620.0,7.418214615434129e-05,0.000165180107920152,0.00031244643057603264,0.0014708978247488737
1680.0,7.692963451467056e-05,0.00017175550593357975,0.0003248843116741614,0.001490339043426029
1740.0,7.967713451614714e-05,0.000178341222028899,0.0003373416912157733,0.0015079758408819287
1800.0,8.242464438727016e-05,0.0001849377685619125,0.000349819554428999,0.001524125457676789
1860.0,8.517216374649393e-05,0.0001915491801457274,0.0003623255215591648,0.0015392222571108465
1920.0,8.791963277794102e-05,0.0001981805388531349,0.0003748693191340995,0.0015535825939754614
1980.0,9.066706952565992e-05,0.0002047913214159522,0.0003873742320986015,0.0015649482568131337
2040.0,9.341449594486536e-05,0.00021145716092150612,0.0003999832920783331,0.0015782568091548127
2100.0,9.616191701312992e-05,0.00021812319289734369,0.0004125927232943164,0.001589929304688756
2160.0,9.890934230134457e-05,0.00022480861428254145,0.00042523883216504183,0.0016013880092779324
2220.0,0.0001016567353171943,0.00023150373996522026,0.00043790334157501324,0.001611990278837366
2280.0,0.00010440412273562811,0.00023820668752556375,0.00045058264905908403,0.0016217892140401148
2340.0,0.00010715152119401944,0.0002449263411384798,0.00046329353501700773,0.0016314503687050088
2400.0,0.00010989892738060906,0.00025168311620570646,0.00047607460826938944,0.0016422354598763368
2460.0,0.00011264637173157235,0.00025847970064790237,0.0004889309195222701,0.0016541986442003178
2520.0,0.00011539383521307992,0.00026527835660144095,0.0005017911202069628,0.001664821940302798
2580.0,0.00011814129096903925,0.0002720803283726295,0.000514657631793654,0.0016744306936791436
