Throughput capacity [A.h],Loss of lithium inventory [%],Loss of active material in negative electrode [%],Loss of active material in positive electrode [%]
0.0,2.842170943040401e-14,1.4210854715202004e-14,0.0
0.01610596063533619,0.04454070637561358,1.4210854715202004e-14,3.831034973700298e-07
0.024547685862656574,0.07194979202790819,1.4210854715202004e-14,4.899912369182857e-07
0.027503366972586638,0.0832884459285026,1.4210854715202004e-14,5.1203247153353e-07
0.027503366972586638,0.0832884459285026,1.4210854715202004e-14,5.1203247153353e-07
0.027503366972586638,0.0957617408148792,3.199716047674883e-10,5.121125070672861e-07
0.027503366972586638,0.10480672361910592,5.617692977466504e-10,5.121125354889955e-07
0.027503366972586638,0.11144660800675865,6.930207518962561e-10,5.121125354889955e-07
0.027503366972586638,0.11638882748496826,7.67016672398313e-10,5.121125354889955e-07
0.027503366972586638,0.12010110152928632,8.089529046628741e-10,5.121125354889955e-07
0.027503366972586638,0.12292307895643262,8.329834599862806e-10,5.121125354889955e-07
0.027503366972586638,0.1251061733406118,8.469527301713242e-10,5.121125354889955e-07
0.027503366972586638,0.12685285442357497,8.560050446249079e-10,5.121125354889955e-07
0.027503366972586638,0.12829086863654027,8.621725555713056e-10,5.121125354889955e-07
0.027503366972586638,0.12950988374690553,8.66847926772607e-10,5.121125354889955e-07
0.027503366972586638,0.1305681379791963,8.705995924174204e-10,5.121125354889955e-07
0.027503366972586638,0.1315064620466586,8.736975587453344e-10,5.121125354889955e-07
0.027503366972586638,0.13235433547023945,8.763265668676468e-10,5.121125354889955e-07
0.027503366972586638,0.13313443070954634,8.786003036220791e-10,5.121125354889955e-07
0.027503366972586638,0.13386226034674564,8.806182449916378e-10,5.121125354889955e-07
0.027503366972586638,0.13454905387365557,8.824372343951836e-10,5.121125354889955e-07
0.027503366972586638,0.1352046335932613,8.840856935421471e-10,5.121125354889955e-07
0.027503366972586638,0.1358329382485124,8.856488875608193e-10,5.121125354889955e-07
0.027503366972586638,0.13643560220191375,8.870557621776243e-10,5.121125354889955e-07
0.027503366972586638,0.1370184113650197,8.883915825208533e-10,5.121125354889955e-07
0.027503366972586638,0.13758515797499626,8.89642137735791e-10,5.121125354889955e-07
0.027503366972586638,0.13814025504539984,8.908500603865832e-10,5.121125354889955e-07
0.027503366972586638,0.1386812364389698,8.919869287637994e-10,5.121125354889955e-07
0.027503366972586638,0.13921033499684654,8.930669537221547e-10,5.121125354889955e-07
0.027503366972586638,0.13972962572998426,8.940901352616493e-10,5.121125354889955e-07
0.027503366972586638,0.14024073881998333,8.95056473382283e-10,5.121125354889955e-07
0.027503366972586638,0.14074458889449204,8.960086006482015e-10,5.121125354889955e-07
0.027503366972586638,0.14124109372605176,8.969323062046897e-10,5.121125354889955e-07
0.027503366972586638,0.14173247056366733,8.978133791970322e-10,5.121125354889955e-07
0.027503366972586638,0.1422199910953168,8.986944521893747e-10,5.121125354889955e-07
0.027503366972586638,0.14270241274451223,8.995328926175716e-10,5.121125354889955e-07
0.027503366972586638,0.14317670089616286,9.003429113363381e-10,5.121125354889955e-07
0.027503366972586638,0.14364565150351893,9.011387192003895e-10,5.121125354889955e-07
0.027503366972586638,0.14410958164644683,9.019061053550104e-10,5.121125354889955e-07
0.027503366972586638,0.14456823128449514,9.026592806549161e-10,5.121125354889955e-07
0.027503366972586638,0.1450211946872031,9.033840342453914e-10,5.121125354889955e-07
0.027503366972586638,0.14546902180778432,9.040945769811515e-10,5.121125354889955e-07
0.027503366972586638,0.14591183246216133,9.04762487152766e-10,5.121125354889955e-07
0.027503366972586638,0.1463498803381924,9.054303973243805e-10,5.121125354889955e-07
0.027503366972586638,0.14678340295623116,9.060698857865646e-10,5.121125354889955e-07
0.027503366972586638,0.14721248285863453,9.067093742487486e-10,5.121125354889955e-07
0.027503366972586638,0.14763727898716184,9.073062301467871e-10,5.121125354889955e-07
0.027503366972586638,0.14805800879473452,9.079030860448256e-10,5.121125354889955e-07
0.027503366972586638,0.14847486562901224,9.084999419428641e-10,5.121125354889955e-07
0.027503366972586638,0.14888799790197993,9.090683761314722e-10,5.121125354889955e-07
0.027503366972586638,0.14929757941267496,9.096083886106499e-10,5.121125354889955e-07
0.027503366972586638,0.14970374396563102,9.101484010898275e-10,5.121125354889955e-07
0.027503366972586638,0.15010664043818167,9.1067420271429e-10,5.121125354889955e-07
0.027503366972586717,0.15010664043818167,9.1067420271429e-10,5.121125354889955e-07
0.06917003363925255,0.12943001067391435,6.988149721109949e-07,5.121125354889955e-07
0.11083670030591943,0.11493025612432461,1.5019313224229336e-06,5.121125354889955e-07
0.15250336697258576,0.10538404044766025,2.3252189862432715e-06,5.121125354889955e-07
0.19417003363925153,0.0994216468660909,3.1643478735077224e-06,5.121125354889955e-07
0.2358367003059174,0.0957769759774294,4.018544075279351e-06,5.121125354889955e-07
0.2775033669725841,0.09398938001476154,4.882073000089804e-06,5.121125354889955e-07
0.3191700336392513,0.09296882897706382,5.752465554564878e-06,5.121125354889955e-07
0.36083670030591875,0.09227381843297167,6.6293137876982655e-06,5.121125354889955e-07
0.4025033669725871,0.09179179181163022,7.512772882023455e-06,5.121125354889955e-07
0.44417003363925406,0.09167165846305636,8.408898352740835e-06,5.121125354889955e-07
0.4858367003059212,0.09214048345805281,9.307062470043093e-06,5.121125354889955e-07
0.5275033669725878,0.09249360443737942,1.021065381223707e-05,5.121125354889955e-07
0.5691700336392514,0.09296092058190197,1.1121073796971359e-05,5.121125354889955e-07
0.610836700305915,0.09336063746468426,1.2038760729637943e-05,5.121125354889955e-07
0.6525033669725787,0.09409465069262524,1.2963718745595543e-05,5.121125354889955e-07
0.6941700336392467,0.09470920563954621,1.3899741389877818e-05,5.121125354889955e-07
0.7358367003059139,0.0954847347230583,1.4834505634553352e-05,5.121125354889955e-07
0.7775033669725798,0.0962527811936269,1.5772415991932576e-05,5.121125354889955e-07
0.819170033639248,0.096817898137175,1.6713740564000545e-05,5.121125354889955e-07
0.8608367003059163,0.09721262651922302,1.7659871517139436e-05,5.121125354889955e-07
0.9025033669725845,0.09758022546432699,1.86189947442017e-05,5.121125354889955e-07
0.9441700336392527,0.09800830647859016,1.9583650015420062e-05,5.121125354889955e-07
0.9858367003059201,0.0982941532872843,2.055556558389071e-05,5.121125354889955e-07
1.0275033669725842,0.09870189639721616,2.153659212922321e-05,5.121125354889955e-07
1.0691700336392502,0.09919728176026865,2.251740946235259e-05,5.121125354889955e-07
1.1108367003059154,0.09983679483272567,2.3500950874222326e-05,5.121125354889955e-07
1.152503366972581,0.10017742511470829,2.4488451813908796e-05,5.121125354889955e-07
1.1941700336392462,0.10030237444615864,2.5479820465079683e-05,5.121125354889955e-07
1.2358367003059123,0.1004332461463946,2.6477713475969722e-05,5.121125354889955e-07
1.2775033669725813,0.10051626824804316,2.74792057268769e-05,5.121125354889955e-07
1.3191700336392471,0.10023206413501384,2.8483679926694094e-05,5.121125354889955e-07
1.360836700305914,0.09988714461348991,2.949616518321818e-05,5.121125354889955e-07
1.402503366972581,0.09960746014074573,3.051785819252473e-05,5.121125354889955e-07
1.4441700336392473,0.09894952859424677,3.154090723000991e-05,5.121125354889955e-07
1.4858367003059136,0.09793618802939363,3.2574080734093513e-05,5.121125354889955e-07
1.5275033669725766,0.09686917002785833,3.3634170449658995e-05,5.121125354889955e-07
1.569170033639245,0.09553575703780837,3.469800026323355e-05,5.121125354889955e-07
1.6108367003059134,0.09356044721388912,3.578633589995661e-05,5.121125354889955e-07
1.6525033669725784,0.09167647963943182,3.693123400694276e-05,5.121125354889955e-07
1.6941700336392451,0.08906656642774635,3.8087335781256115e-05,5.121125354889955e-07
1.7358367003059152,0.08543344600286673,3.921962844799509e-05,5.121125354889955e-07
1.7775033669725817,0.08110141104029367,4.0355896871346886e-05,5.121125354889955e-07
1.8191700336392445,0.07629878522888589,4.1475922685663136e-05,5.121125354889955e-07
1.860836700305911,0.07174113650476954,4.255898016936044e-05,5.121125354889955e-07
1.902503366972581,0.06891367476541177,4.364761535669004e-05,5.121125354889955e-07
1.944170033639251,0.0673503894523435,4.474762965855916e-05,5.121125354889955e-07
1.9858367003059174,0.06648861659274985,4.58601137580672e-05,5.121125354889955e-07
2.027503366972583,0.06607615423894231,4.698116300971833e-05,5.121125354889955e-07
