Time [h],Graphite Avg J [A/m2] (V_si=0.001),Graphite Avg J [A/m2] (V_si=0.04),Graphite Avg J [A/m2] (V_si=0.1)
0,0.744454,0.757555,0.778621
0.00601202,0.744452,0.757492,0.778443
0.012024,0.744451,0.757437,0.778291
0.0180361,0.74445,0.757385,0.778145
0.0240481,0.744449,0.75734,0.778019
0.0300601,0.744448,0.757303,0.777917
0.0360721,0.744447,0.757276,0.777842
0.0420842,0.744447,0.757259,0.777795
0.0480962,0.744447,0.757252,0.777773
0.0541082,0.744447,0.757254,0.777777
0.0601202,0.744447,0.757265,0.777804
0.0661323,0.744447,0.757283,0.777854
0.0721443,0.744448,0.75731,0.777924
0.0781563,0.744449,0.757343,0.778012
0.0841683,0.74445,0.757382,0.778116
0.0901804,0.744451,0.757427,0.778235
0.0961924,0.744452,0.757477,0.778368
0.102204,0.744453,0.757532,0.778513
0.108216,0.744455,0.757591,0.778669
0.114228,0.744457,0.757653,0.778835
0.12024,0.744458,0.757719,0.779009
0.126253,0.74446,0.757788,0.77919
0.132265,0.744461,0.757858,0.779377
0.138277,0.744463,0.757932,0.77957
0.144289,0.744465,0.758006,0.779766
0.150301,0.744467,0.758082,0.779964
0.156313,0.744469,0.758158,0.780163
0.162325,0.74447,0.758234,0.780361
0.168337,0.744472,0.75831,0.780558
0.174349,0.744474,0.758386,0.780753
0.180361,0.744476,0.75846,0.780945
0.186373,0.744478,0.758534,0.781133
0.192385,0.744479,0.758605,0.781315
0.198397,0.744481,0.758675,0.78149
0.204409,0.744483,0.758741,0.781655
0.210421,0.744485,0.758805,0.78181
0.216433,0.744486,0.758864,0.781954
0.222445,0.744487,0.758919,0.782085
0.228457,0.744489,0.75897,0.782202
0.234469,0.74449,0.759016,0.782305
0.240481,0.744491,0.759056,0.78239
0.246493,0.744492,0.75909,0.782458
0.252505,0.744493,0.759118,0.782506
0.258517,0.744494,0.759139,0.782533
0.264529,0.744494,0.759151,0.782537
0.270541,0.744494,0.759156,0.782516
0.276553,0.744494,0.759152,0.782467
0.282565,0.744496,0.759139,0.782391
0.288577,0.744494,0.759113,0.782283
0.294589,0.744495,0.75908,0.782147
0.300601,0.74449,0.759032,0.781974
0.306613,0.744493,0.758976,0.78177
0.312625,0.744487,0.758904,0.781523
0.318637,0.74449,0.758822,0.781243
0.324649,0.744484,0.758723,0.780918
0.330661,0.744485,0.758612,0.780557
0.336673,0.744479,0.758486,0.780155
0.342685,0.744478,0.758345,0.779717
0.348697,0.744475,0.758189,0.779235
0.354709,0.744471,0.75802,0.778718
0.360721,0.744467,0.757835,0.77816
0.366733,0.744463,0.757637,0.77757
0.372745,0.744458,0.757423,0.776946
0.378758,0.744454,0.757199,0.776296
0.38477,0.744446,0.756962,0.775619
0.390782,0.744442,0.756716,0.774926
0.396794,0.744435,0.756459,0.774205
0.402806,0.74443,0.7562,0.773479
0.408818,0.744423,0.755924,0.772745
0.41483,0.744421,0.755649,0.772013
0.420842,0.744411,0.75537,0.771296
0.426854,0.744404,0.755091,0.770591
0.432866,0.744397,0.754819,0.76992
0.438878,0.744387,0.754547,0.769276
0.44489,0.744384,0.754293,0.768676
0.450902,0.744372,0.754045,0.768119
0.456914,0.744371,0.753815,0.767619
0.462926,0.744365,0.753598,0.767169
0.468938,0.744361,0.753405,0.766784
0.47495,0.744355,0.753227,0.766452
0.480962,0.744352,0.753077,0.766185
0.486974,0.744346,0.752943,0.765968
0.492986,0.744345,0.752837,0.765812
0.498998,0.74434,0.752748,0.765695
0.50501,0.744339,0.752684,0.765646
0.511022,0.744335,0.752628,0.765627
0.517034,0.744336,0.752611,0.765668
0.523046,0.744324,0.752593,0.765735
0.529058,0.744334,0.75261,0.765855
0.53507,0.744325,0.752627,0.765997
0.541082,0.744334,0.752674,0.766184
0.547094,0.744327,0.75272,0.766389
0.553106,0.744336,0.752793,0.766631
0.559118,0.744331,0.752865,0.766887
0.56513,0.744339,0.752959,0.767173
0.571142,0.744336,0.753052,0.767471
0.577154,0.744343,0.753163,0.767793
0.583166,0.744341,0.753273,0.768123
0.589178,0.744349,0.753397,0.768473
0.59519,0.744348,0.753521,0.768829
0.601202,0.744354,0.753656,0.769197
0.607214,0.744355,0.75379,0.769566
0.613226,0.744361,0.753933,0.769953
0.619238,0.744362,0.754075,0.770332
0.625251,0.744368,0.754222,0.770725
0.631263,0.744369,0.754366,0.771111
0.637275,0.744375,0.754521,0.771505
0.643287,0.744374,0.754667,0.771893
0.649299,0.744382,0.754822,0.772286
0.655311,0.744385,0.75497,0.772675
0.661323,0.74439,0.755124,0.773062
0.667335,0.744393,0.755274,0.773446
0.673347,0.744397,0.755424,0.773826
0.679359,0.7444,0.755573,0.7742
0.685371,0.744404,0.755721,0.774567
0.691383,0.744408,0.755868,0.774928
0.697395,0.744412,0.756011,0.77528
0.703407,0.744415,0.756153,0.775625
0.709419,0.744419,0.756291,0.775959
0.715431,0.744423,0.756427,0.776285
0.721443,0.744425,0.756558,0.776599
0.727455,0.74443,0.756688,0.776902
0.733467,0.744432,0.756812,0.777191
0.739479,0.744436,0.756934,0.777468
0.745491,0.744438,0.757049,0.777727
0.751503,0.744442,0.757162,0.777973
0.757515,0.744444,0.757266,0.778199
0.763527,0.744448,0.757368,0.778411
0.769539,0.744449,0.757461,0.778602
0.775551,0.744454,0.757551,0.778778
0.781563,0.744454,0.757631,0.77893
0.787575,0.744458,0.757708,0.779068
0.793587,0.744458,0.757774,0.779179
0.799599,0.744462,0.757837,0.779273
0.805611,0.744462,0.757889,0.779338
0.811623,0.744466,0.757937,0.779384
