Time [h],Graphite OCP [V] (V_si=0.001),Graphite OCP [V] (V_si=0.04),Graphite OCP [V] (V_si=0.1)
0,0.101542,0.101542,0.101542
0.00601202,0.101695,0.101698,0.101702
0.012024,0.101774,0.101778,0.101785
0.0180361,0.101844,0.10185,0.101858
0.0240481,0.101913,0.101919,0.10193
0.0300601,0.101981,0.101989,0.102002
0.0360721,0.102051,0.10206,0.102076
0.0420842,0.102122,0.102133,0.10215
0.0480962,0.102193,0.102206,0.102226
0.0541082,0.102266,0.10228,0.102302
0.0601202,0.10234,0.102355,0.10238
0.0661323,0.102415,0.102432,0.102459
0.0721443,0.102491,0.10251,0.10254
0.0781563,0.102569,0.102589,0.102622
0.0841683,0.102649,0.102671,0.102707
0.0901804,0.102731,0.102755,0.102795
0.0961924,0.102815,0.102842,0.102885
0.102204,0.102902,0.102931,0.102979
0.108216,0.102992,0.103024,0.103075
0.114228,0.103084,0.103118,0.103174
0.12024,0.10318,0.103217,0.103277
0.126253,0.103278,0.103318,0.103383
0.132265,0.103379,0.103422,0.103492
0.138277,0.103483,0.10353,0.103606
0.144289,0.103591,0.103641,0.103723
0.150301,0.103703,0.103757,0.103846
0.156313,0.103819,0.103878,0.103974
0.162325,0.10394,0.104004,0.104108
0.168337,0.104067,0.104135,0.104248
0.174349,0.104198,0.104272,0.104393
0.180361,0.104335,0.104414,0.104545
0.186373,0.104477,0.104563,0.104705
0.192385,0.104626,0.104718,0.104872
0.198397,0.104781,0.104881,0.105047
0.204409,0.104944,0.105052,0.105232
0.210421,0.105115,0.105232,0.105428
0.216433,0.105295,0.105422,0.105635
0.222445,0.105485,0.105622,0.105854
0.228457,0.105685,0.105834,0.106084
0.234469,0.105895,0.106056,0.106328
0.240481,0.106117,0.106291,0.106585
0.246493,0.106351,0.106539,0.106858
0.252505,0.106597,0.106801,0.107146
0.258517,0.106857,0.107077,0.107451
0.264529,0.107131,0.107369,0.107774
0.270541,0.10742,0.107677,0.108117
0.276553,0.107725,0.108004,0.10848
0.282565,0.108049,0.10835,0.108866
