Time [h],Graphite Conc_norm (V_si=0.001),Graphite Conc_norm (V_si=0.04),Graphite Conc_norm (V_si=0.1)
0,0.801394,0.801394,0.801394
0.00601202,0.798415,0.798363,0.798279
0.012024,0.795436,0.795332,0.795164
0.0180361,0.792457,0.792301,0.79205
0.0240481,0.789479,0.789271,0.788937
0.0300601,0.7865,0.78624,0.785824
0.0360721,0.783521,0.78321,0.782711
0.0420842,0.780542,0.78018,0.779599
0.0480962,0.777563,0.77715,0.776487
0.0541082,0.774585,0.77412,0.773375
0.0601202,0.771606,0.77109,0.770263
0.0661323,0.768627,0.76806,0.76715
0.0721443,0.765648,0.76503,0.764038
0.0781563,0.76267,0.762,0.760925
0.0841683,0.759691,0.758969,0.757812
0.0901804,0.756712,0.755938,0.754698
0.0961924,0.753733,0.752908,0.751584
0.102204,0.750754,0.749877,0.748469
0.108216,0.747776,0.746845,0.745353
0.114228,0.744797,0.743814,0.742237
0.12024,0.741818,0.740782,0.739121
0.126253,0.738839,0.73775,0.736003
0.132265,0.73586,0.734718,0.732885
0.138277,0.732882,0.731685,0.729766
0.144289,0.729903,0.728652,0.726646
0.150301,0.726924,0.725619,0.723526
0.156313,0.723945,0.722586,0.720404
0.162325,0.720966,0.719552,0.717282
0.168337,0.717987,0.716518,0.714159
0.174349,0.715008,0.713483,0.711036
0.180361,0.712029,0.710449,0.707911
0.186373,0.709051,0.707414,0.704786
0.192385,0.706072,0.704378,0.70166
0.198397,0.703093,0.701343,0.698533
0.204409,0.700114,0.698307,0.695406
0.210421,0.697135,0.695271,0.692278
0.216433,0.694156,0.692234,0.689149
0.222445,0.691177,0.689198,0.68602
0.228457,0.688198,0.686161,0.682891
0.234469,0.685219,0.683124,0.679761
0.240481,0.68224,0.680087,0.67663
0.246493,0.679261,0.67705,0.6735
0.252505,0.676282,0.674012,0.670369
0.258517,0.673303,0.670975,0.667237
0.264529,0.670324,0.667937,0.664106
0.270541,0.667345,0.6649,0.660975
0.276553,0.664367,0.661862,0.657844
