Time [h],Graphite Avg Vol J [A/m3] (V_si=0.001),Graphite Avg Vol J [A/m3] (V_si=0.04),Graphite Avg Vol J [A/m3] (V_si=0.1)
0,285554,279235,269063
0.00601202,285553,279212,269001
0.012024,285553,279192,268949
0.0180361,285552,279173,268898
0.0240481,285552,279156,268855
0.0300601,285552,279142,268820
0.0360721,285551,279133,268794
0.0420842,285551,279126,268777
0.0480962,285551,279124,268770
0.0541082,285551,279124,268771
0.0601202,285551,279128,268781
0.0661323,285551,279135,268798
0.0721443,285552,279145,268822
0.0781563,285552,279157,268852
0.0841683,285552,279172,268888
0.0901804,285553,279188,268929
0.0961924,285553,279207,268975
0.102204,285554,279227,269025
0.108216,285554,279248,269079
0.114228,285555,279272,269137
0.12024,285555,279296,269197
0.126253,285556,279321,269259
0.132265,285557,279347,269324
0.138277,285558,279374,269391
0.144289,285558,279402,269458
0.150301,285559,279430,269527
0.156313,285560,279458,269595
0.162325,285560,279486,269664
0.168337,285561,279514,269732
0.174349,285562,279541,269800
0.180361,285562,279569,269866
0.186373,285563,279596,269931
0.192385,285564,279622,269994
0.198397,285564,279648,270054
0.204409,285565,279673,270111
0.210421,285566,279696,270165
0.216433,285566,279718,270214
0.222445,285567,279738,270260
0.228457,285567,279757,270300
0.234469,285568,279774,270336
0.240481,285568,279788,270365
0.246493,285569,279801,270389
0.252505,285569,279811,270405
0.258517,285569,279819,270415
0.264529,285569,279824,270416
0.270541,285569,279826,270409
0.276553,285569,279824,270392
0.282565,285570,279819,270366
0.288577,285569,279809,270328
0.294589,285570,279797,270281
0.300601,285568,279780,270221
0.306613,285569,279759,270151
0.312625,285567,279733,270066
0.318637,285568,279702,269969
0.324649,285565,279666,269856
0.330661,285566,279625,269732
0.336673,285563,279578,269593
0.342685,285563,279526,269441
0.348697,285562,279469,269275
0.354709,285561,279407,269096
0.360721,285559,279339,268903
0.366733,285557,279265,268700
0.372745,285556,279187,268484
0.378758,285554,279104,268259
0.38477,285551,279017,268025
0.390782,285550,278926,267786
0.396794,285547,278831,267537
0.402806,285545,278736,267286
0.408818,285542,278634,267032
0.41483,285541,278533,266779
0.420842,285537,278430,266531
0.426854,285535,278327,266288
0.432866,285532,278227,266056
0.438878,285528,278126,265833
0.44489,285527,278033,265626
0.450902,285522,277942,265434
0.456914,285522,277857,265261
0.462926,285520,277777,265105
0.468938,285519,277706,264972
0.47495,285516,277640,264857
0.480962,285515,277585,264765
0.486974,285513,277535,264690
0.492986,285512,277496,264636
0.498998,285510,277463,264596
0.50501,285510,277440,264579
0.511022,285508,277419,264573
0.517034,285509,277413,264587
0.523046,285504,277406,264610
0.529058,285508,277413,264651
0.53507,285505,277419,264700
0.541082,285508,277436,264765
0.547094,285505,277453,264836
0.553106,285509,277480,264919
0.559118,285507,277507,265008
0.56513,285510,277541,265107
0.571142,285509,277575,265210
0.577154,285512,277616,265321
0.583166,285511,277657,265435
0.589178,285514,277703,265556
0.59519,285513,277748,265679
0.601202,285516,277798,265806
0.607214,285516,277848,265934
0.613226,285518,277900,266067
0.619238,285519,277952,266198
0.625251,285521,278007,266334
0.631263,285522,278060,266467
0.637275,285524,278117,266604
0.643287,285523,278171,266738
0.649299,285526,278228,266874
0.655311,285528,278282,267008
0.661323,285529,278339,267142
0.667335,285530,278394,267274
0.673347,285532,278450,267406
0.679359,285533,278505,267535
0.685371,285535,278559,267662
0.691383,285536,278613,267787
0.697395,285538,278666,267908
0.703407,285539,278719,268027
0.709419,285540,278769,268143
0.715431,285542,278819,268256
0.721443,285543,278868,268364
0.727455,285545,278916,268469
0.733467,285546,278961,268568
0.739479,285547,279006,268664
0.745491,285548,279049,268754
0.751503,285550,279090,268839
0.757515,285550,279129,268917
0.763527,285552,279166,268990
0.769539,285552,279201,269056
0.775551,285554,279234,269117
0.781563,285554,279263,269170
0.787575,285556,279292,269217
0.793587,285556,279316,269256
0.799599,285557,279339,269288
0.805611,285557,279358,269311
0.811623,285559,279376,269326
0.817635,285558,279389,269332
0.823647,285560,279401,269330
0.829659,285559,279407,269317
0.835671,285560,279412,269297
0.841683,285559,279412,269265
0.847695,285561,279410,269225
0.853707,285559,279402,269172
