Time [h],Silicon Avg J [A/m2] (V_si=0.001),Silicon Avg J [A/m2] (V_si=0.04),Silicon Avg J [A/m2] (V_si=0.1)
0,0.107493,0.109406,0.112481
0.00601202,0.107865,0.109795,0.112896
0.012024,0.108193,0.110134,0.113253
0.0180361,0.108508,0.110459,0.113592
0.0240481,0.108781,0.110741,0.113887
0.0300601,0.109002,0.110969,0.114124
0.0360721,0.109163,0.111136,0.114299
0.0420842,0.109265,0.111242,0.114411
0.0480962,0.109308,0.111287,0.114461
0.0541082,0.109294,0.111276,0.114452
0.0601202,0.109226,0.111209,0.114388
0.0661323,0.109108,0.111092,0.114272
0.0721443,0.108944,0.110929,0.11411
0.0781563,0.108737,0.110722,0.113905
0.0841683,0.108491,0.110478,0.113661
0.0901804,0.108211,0.110198,0.113383
0.0961924,0.107899,0.109887,0.113073
0.102204,0.107558,0.109546,0.112735
0.108216,0.107191,0.10918,0.11237
0.114228,0.1068,0.10879,0.111983
0.12024,0.106389,0.108381,0.111577
0.126253,0.10596,0.107954,0.111154
0.132265,0.105516,0.107512,0.110716
0.138277,0.105058,0.107057,0.110267
0.144289,0.10459,0.106592,0.109809
0.150301,0.104115,0.106122,0.109347
0.156313,0.103635,0.105647,0.108883
0.162325,0.103154,0.105173,0.10842
0.168337,0.102674,0.104699,0.107959
0.174349,0.102196,0.10423,0.107504
0.180361,0.101723,0.103766,0.107056
0.186373,0.101257,0.10331,0.106618
0.192385,0.1008,0.102864,0.106193
0.198397,0.100355,0.102432,0.105786
0.204409,0.0999239,0.102017,0.105399
0.210421,0.0995114,0.101623,0.105037
0.216433,0.0991205,0.101252,0.104701
0.222445,0.0987542,0.100908,0.104396
0.228457,0.0984147,0.100593,0.104122
0.234469,0.0981043,0.100309,0.103883
0.240481,0.0978254,0.100059,0.103683
0.246493,0.097581,0.099846,0.103525
0.252505,0.0973739,0.0996736,0.103412
0.258517,0.0972071,0.0995446,0.103349
0.264529,0.0970835,0.0994626,0.10334
0.270541,0.097007,0.0994322,0.10339
0.276553,0.0969819,0.099458,0.103503
0.282565,0.0970128,0.0995441,0.103683
0.288577,0.0971026,0.0996932,0.103931
0.294589,0.0972559,0.0999096,0.104254
0.300601,0.0974736,0.100195,0.104653
0.306613,0.0977616,0.100555,0.105136
0.312625,0.0981208,0.100992,0.105705
0.318637,0.0985585,0.101513,0.106366
0.324649,0.0990761,0.10212,0.107118
0.330661,0.0996807,0.102818,0.107963
0.336673,0.100371,0.103606,0.108901
0.342685,0.101153,0.104484,0.109928
0.348697,0.102023,0.105452,0.111047
0.354709,0.102981,0.106509,0.112259
0.360721,0.104028,0.107657,0.113558
0.366733,0.105164,0.108894,0.114939
0.372745,0.106389,0.110215,0.116392
0.378758,0.107698,0.111616,0.117912
0.38477,0.109085,0.113088,0.119489
0.390782,0.110547,0.114626,0.121119
0.396794,0.112074,0.11622,0.122791
0.402806,0.113661,0.117868,0.12449
0.408818,0.115301,0.119556,0.1262
0.41483,0.116987,0.121275,0.127903
0.420842,0.118707,0.123005,0.129582
0.426854,0.120446,0.124731,0.131217
0.432866,0.122187,0.126435,0.132794
0.438878,0.123912,0.128099,0.134293
0.44489,0.125607,0.129709,0.135698
0.450902,0.127251,0.131244,0.136993
0.456914,0.128833,0.132688,0.138166
0.462926,0.13033,0.134025,0.139209
0.468938,0.131727,0.135243,0.140116
0.47495,0.13301,0.136332,0.140883
0.480962,0.134168,0.137285,0.141515
0.486974,0.135193,0.138099,0.142014
0.492986,0.13608,0.138775,0.142386
0.498998,0.136827,0.139315,0.142634
0.50501,0.137437,0.139727,0.142771
0.511022,0.137914,0.14001,0.142795
0.517034,0.138263,0.14018,0.14272
0.523046,0.138487,0.140233,0.142546
0.529058,0.138599,0.140184,0.142284
0.53507,0.138597,0.140032,0.141937
0.541082,0.138494,0.139789,0.141516
0.547094,0.138291,0.139456,0.141024
0.553106,0.137999,0.139046,0.140472
0.559118,0.13762,0.138561,0.139863
0.56513,0.137166,0.138013,0.139206
0.571142,0.13664,0.137404,0.138503
0.577154,0.136054,0.136745,0.13776
0.583166,0.135408,0.136035,0.136981
0.589178,0.134714,0.135285,0.136172
0.59519,0.133972,0.134496,0.135337
0.601202,0.13319,0.133674,0.134482
0.607214,0.132371,0.132823,0.133607
0.613226,0.131522,0.131951,0.132721
0.619238,0.130645,0.131056,0.131822
0.625251,0.129748,0.130148,0.130918
0.631263,0.12883,0.129225,0.130007
0.637275,0.1279,0.128296,0.129096
0.643287,0.126957,0.127359,0.128182
0.649299,0.126008,0.126421,0.127272
0.655311,0.125052,0.125479,0.126362
0.661323,0.124095,0.124539,0.12546
0.667335,0.123136,0.1236,0.124563
