Time [h],Silicon OCP [V] (V_si=0.001),Silicon OCP [V] (V_si=0.04),Silicon OCP [V] (V_si=0.1)
0,0.103207,0.103207,0.103207
0.00601202,0.103996,0.10401,0.104032
0.012024,0.104557,0.104581,0.104619
0.0180361,0.105112,0.105146,0.105201
0.0240481,0.105667,0.105711,0.105781
0.0300601,0.10622,0.106274,0.106359
0.0360721,0.106772,0.106835,0.106937
0.0420842,0.107322,0.107395,0.107512
0.0480962,0.107871,0.107953,0.108086
0.0541082,0.108417,0.108509,0.108657
0.0601202,0.108961,0.109063,0.109226
0.0661323,0.109503,0.109614,0.109792
0.0721443,0.110041,0.110162,0.110355
0.0781563,0.110577,0.110707,0.110915
0.0841683,0.11111,0.11125,0.111473
0.0901804,0.11164,0.111789,0.112026
0.0961924,0.112167,0.112324,0.112577
0.102204,0.11269,0.112857,0.113124
0.108216,0.11321,0.113385,0.113667
0.114228,0.113726,0.11391,0.114207
0.12024,0.114238,0.114432,0.114743
0.126253,0.114747,0.11495,0.115275
0.132265,0.115252,0.115464,0.115803
0.138277,0.115754,0.115974,0.116328
0.144289,0.116251,0.116481,0.116848
0.150301,0.116745,0.116983,0.117365
0.156313,0.117235,0.117482,0.117878
0.162325,0.117722,0.117978,0.118387
0.168337,0.118205,0.118469,0.118893
0.174349,0.118684,0.118957,0.119395
0.180361,0.119159,0.119441,0.119893
0.186373,0.119631,0.119922,0.120388
0.192385,0.1201,0.1204,0.12088
0.198397,0.120565,0.120874,0.121368
0.204409,0.121027,0.121344,0.121852
0.210421,0.121486,0.121812,0.122334
0.216433,0.121942,0.122276,0.122813
0.222445,0.122394,0.122738,0.123289
0.228457,0.122844,0.123197,0.123762
0.234469,0.123292,0.123653,0.124233
0.240481,0.123736,0.124107,0.124702
0.246493,0.124179,0.124559,0.125169
0.252505,0.124619,0.125008,0.125633
0.258517,0.125057,0.125456,0.126096
0.264529,0.125494,0.125902,0.126558
0.270541,0.125929,0.126347,0.127019
0.276553,0.126363,0.126791,0.127478
0.282565,0.126795,0.127234,0.127938
0.288577,0.127227,0.127676,0.128397
0.294589,0.127659,0.128118,0.128856
0.300601,0.12809,0.12856,0.129316
0.306613,0.128521,0.129002,0.129776
0.312625,0.128953,0.129446,0.130238
0.318637,0.129386,0.12989,0.130701
0.324649,0.12982,0.130336,0.131166
0.330661,0.130255,0.130783,0.131634
0.336673,0.130692,0.131232,0.132103
0.342685,0.131131,0.131684,0.132576
0.348697,0.131572,0.132139,0.133053
0.354709,0.132017,0.132597,0.133533
0.360721,0.132464,0.133058,0.134018
0.366733,0.132916,0.133524,0.134507
0.372745,0.133371,0.133994,0.135
0.378758,0.133831,0.134469,0.135499
0.38477,0.134295,0.134949,0.136002
0.390782,0.134764,0.135433,0.136511
0.396794,0.135239,0.135923,0.137025
0.402806,0.135719,0.136419,0.137544
0.408818,0.136204,0.136919,0.138069
0.41483,0.136695,0.137426,0.138599
0.420842,0.137191,0.137937,0.139134
0.426854,0.137693,0.138455,0.139673
0.432866,0.1382,0.138977,0.140218
0.438878,0.138713,0.139505,0.140766
