Time [h],Silicon Conc_norm (V_si=0.001),Silicon Conc_norm (V_si=0.04),Silicon Conc_norm (V_si=0.1)
0,0.996403,0.996403,0.996403
0.00601202,0.996231,0.996228,0.996223
0.012024,0.996059,0.996053,0.996043
0.0180361,0.995887,0.995877,0.995863
0.0240481,0.995714,0.995701,0.995682
0.0300601,0.99554,0.995525,0.9955
0.0360721,0.995367,0.995348,0.995318
0.0420842,0.995193,0.995171,0.995136
0.0480962,0.995019,0.994994,0.994954
0.0541082,0.994844,0.994816,0.994771
0.0601202,0.99467,0.994639,0.994589
0.0661323,0.994497,0.994462,0.994407
0.0721443,0.994323,0.994285,0.994225
0.0781563,0.99415,0.994109,0.994044
0.0841683,0.993977,0.993933,0.993862
0.0901804,0.993804,0.993757,0.993682
0.0961924,0.993632,0.993582,0.993501
0.102204,0.993461,0.993407,0.993322
0.108216,0.99329,0.993233,0.993142
0.114228,0.993119,0.99306,0.992964
0.12024,0.992949,0.992887,0.992786
0.126253,0.99278,0.992714,0.992608
0.132265,0.992612,0.992543,0.992432
0.138277,0.992444,0.992372,0.992256
0.144289,0.992277,0.992202,0.992081
0.150301,0.992111,0.992033,0.991906
0.156313,0.991946,0.991864,0.991732
0.162325,0.991781,0.991696,0.991559
0.168337,0.991617,0.991529,0.991387
0.174349,0.991454,0.991363,0.991216
0.180361,0.991292,0.991197,0.991045
0.186373,0.99113,0.991032,0.990875
0.192385,0.990969,0.990868,0.990705
0.198397,0.990809,0.990705,0.990536
0.204409,0.99065,0.990542,0.990368
0.210421,0.990491,0.99038,0.990201
0.216433,0.990333,0.990218,0.990034
0.222445,0.990175,0.990057,0.989867
0.228457,0.990018,0.989897,0.989701
0.234469,0.989862,0.989737,0.989536
0.240481,0.989706,0.989577,0.98937
0.246493,0.98955,0.989418,0.989205
0.252505,0.989395,0.989259,0.989041
0.258517,0.98924,0.9891,0.988876
0.264529,0.989085,0.988942,0.988711
0.270541,0.988931,0.988784,0.988547
0.276553,0.988776,0.988625,0.988382
0.282565,0.988622,0.988467,0.988217
