Time [h],Silicon Avg Vol J [A/m3] (V_si=0.001),Silicon Avg Vol J [A/m3] (V_si=0.04),Silicon Avg Vol J [A/m3] (V_si=0.1)
0,159.117,6477.96,16650.2
0.00601202,159.669,6501.03,16711.6
0.012024,160.154,6521.1,16764.4
0.0180361,160.62,6540.34,16814.6
0.0240481,161.025,6557.05,16858.3
0.0300601,161.351,6570.51,16893.4
0.0360721,161.59,6580.4,16919.3
0.0420842,161.741,6586.67,16935.8
0.0480962,161.805,6589.39,16943.2
0.0541082,161.784,6588.69,16941.9
0.0601202,161.684,6584.77,16932.4
0.0661323,161.509,6577.84,16915.3
0.0721443,161.265,6568.14,16891.2
0.0781563,160.959,6555.92,16860.9
0.0841683,160.596,6541.44,16824.9
0.0901804,160.181,6524.89,16783.7
0.0961924,159.719,6506.46,16737.8
0.102204,159.214,6486.3,16687.7
0.108216,158.67,6464.59,16633.7
0.114228,158.092,6441.53,16576.5
0.12024,157.483,6417.29,16516.3
0.126253,156.849,6392.02,16453.7
0.132265,156.191,6365.83,16388.8
0.138277,155.514,6338.9,16322.3
0.144289,154.821,6311.39,16254.6
0.150301,154.118,6283.51,16186.2
0.156313,153.407,6255.42,16117.5
0.162325,152.695,6227.32,16049
0.168337,151.984,6199.31,15980.8
0.174349,151.277,6171.51,15913.4
0.180361,150.578,6144.04,15847
0.186373,149.887,6117.03,15782.2
0.192385,149.211,6090.64,15719.4
0.198397,148.551,6065.06,15659.1
0.204409,147.914,6040.48,15601.8
0.210421,147.303,6017.13,15548.2
0.216433,146.724,5995.19,15498.5
0.222445,146.182,5974.82,15453.3
0.228457,145.68,5956.16,15412.7
0.234469,145.22,5939.33,15377.4
0.240481,144.807,5924.53,15347.8
0.246493,144.446,5911.94,15324.4
0.252505,144.139,5901.73,15307.7
0.258517,143.892,5894.09,15298.4
0.264529,143.709,5889.23,15297
0.270541,143.596,5887.43,15304.4
0.276553,143.559,5888.96,15321.2
0.282565,143.604,5894.06,15347.8
0.288577,143.737,5902.88,15384.6
0.294589,143.964,5915.7,15432.3
0.300601,144.287,5932.58,15491.3
0.306613,144.713,5953.89,15562.8
0.312625,145.245,5979.78,15647.1
