Time [h],Voltage [V] (V_si=0.001),Voltage [V] (V_si=0.04),Voltage [V] (V_si=0.1)
0,4.08728,4.08652,4.08531
0.00601202,4.05199,4.05126,4.0501
0.012024,4.03552,4.0348,4.03366
0.0180361,4.02497,4.02426,4.02313
0.0240481,4.01751,4.0168,4.01569
0.0300601,4.01197,4.01127,4.01016
0.0360721,4.00773,4.00703,4.00593
0.0420842,4.00444,4.00375,4.00265
0.0480962,4.00186,4.00117,4.00008
0.0541082,3.99982,3.99913,3.99804
0.0601202,3.99818,3.9975,3.99642
0.0661323,3.99686,3.99618,3.99509
0.0721443,3.99576,3.99507,3.99399
0.0781563,3.99481,3.99412,3.99304
0.0841683,3.99396,3.99327,3.99219
0.0901804,3.99316,3.99248,3.99139
0.0961924,3.9924,3.99171,3.99062
0.102204,3.99164,3.99095,3.98985
0.108216,3.99086,3.99017,3.98907
0.114228,3.99006,3.98936,3.98825
0.12024,3.9892,3.9885,3.98738
0.126253,3.98828,3.98758,3.98646
0.132265,3.98729,3.98658,3.98545
0.138277,3.98621,3.98549,3.98436
0.144289,3.98503,3.98431,3.98316
0.150301,3.98375,3.98302,3.98187
0.156313,3.98236,3.98162,3.98045
0.162325,3.98085,3.98011,3.97893
0.168337,3.97923,3.97848,3.97728
0.174349,3.97749,3.97673,3.97552
0.180361,3.97563,3.97487,3.97365
0.186373,3.97366,3.97289,3.97165
0.192385,3.97159,3.9708,3.96955
0.198397,3.9694,3.96861,3.96734
0.204409,3.96712,3.96632,3.96503
0.210421,3.96474,3.96393,3.96262
0.216433,3.96227,3.96145,3.96012
0.222445,3.95972,3.95888,3.95753
0.228457,3.95709,3.95623,3.95487
0.234469,3.95438,3.95351,3.95212
0.240481,3.95161,3.95072,3.94931
0.246493,3.94877,3.94787,3.94643
0.252505,3.94587,3.94495,3.94348
0.258517,3.94292,3.94199,3.94049
0.264529,3.93993,3.93897,3.93744
0.270541,3.93689,3.93591,3.93435
0.276553,3.93381,3.93281,3.93121
0.282565,3.93069,3.92967,3.92804
0.288577,3.92754,3.9265,3.92483
0.294589,3.92436,3.9233,3.92158
0.300601,3.92116,3.92007,3.91831
0.306613,3.91793,3.91681,3.91501
0.312625,3.91468,3.91353,3.91169
0.318637,3.91141,3.91024,3.90835
0.324649,3.90813,3.90692,3.90498
0.330661,3.90482,3.90359,3.9016
0.336673,3.90151,3.90024,3.89821
0.342685,3.89818,3.89688,3.89481
0.348697,3.89485,3.89352,3.8914
0.354709,3.89151,3.89015,3.88798
0.360721,3.88816,3.88677,3.88457
0.366733,3.88481,3.8834,3.88115
0.372745,3.88147,3.88002,3.87774
0.378758,3.87812,3.87665,3.87434
0.38477,3.87478,3.87329,3.87096
0.390782,3.87144,3.86994,3.86759
0.396794,3.86812,3.8666,3.86424
0.402806,3.86481,3.86328,3.86091
0.408818,3.86152,3.85998,3.85761
0.41483,3.85824,3.8567,3.85434
0.420842,3.85499,3.85345,3.85111
0.426854,3.85176,3.85023,3.84791
0.432866,3.84856,3.84704,3.84476
0.438878,3.8454,3.8439,3.84166
0.44489,3.84227,3.84079,3.8386
0.450902,3.83918,3.83773,3.8356
0.456914,3.83613,3.83472,3.83265
0.462926,3.83313,3.83175,3.82975
0.468938,3.83018,3.82884,3.8269
0.47495,3.82728,3.82598,3.82411
0.480962,3.82442,3.82317,3.82137
0.486974,3.82162,3.82042,3.81868
0.492986,3.81887,3.81771,3.81603
0.498998,3.81617,3.81505,3.81343
0.50501,3.81352,3.81244,3.81087
0.511022,3.81091,3.80987,3.80835
0.517034,3.80835,3.80734,3.80587
0.523046,3.80583,3.80485,3.80342
0.529058,3.80334,3.8024,3.801
0.53507,3.80089,3.79998,3.79862
0.541082,3.79848,3.79759,3.79626
0.547094,3.79609,3.79523,3.79392
0.553106,3.79374,3.79289,3.79161
0.559118,3.79141,3.79058,3.78932
0.56513,3.7891,3.78829,3.78705
0.571142,3.78682,3.78602,3.78479
0.577154,3.78455,3.78376,3.78254
0.583166,3.7823,3.78152,3.78031
0.589178,3.78006,3.77929,3.77809
0.59519,3.77783,3.77707,3.77587
0.601202,3.77561,3.77485,3.77366
0.607214,3.7734,3.77265,3.77145
0.613226,3.77119,3.77044,3.76924
0.619238,3.76899,3.76823,3.76703
0.625251,3.76678,3.76603,3.76482
0.631263,3.76457,3.76382,3.7626
0.637275,3.76236,3.7616,3.76038
0.643287,3.76014,3.75938,3.75814
0.649299,3.75792,3.75715,3.7559
0.655311,3.75568,3.7549,3.75364
0.661323,3.75343,3.75265,3.75138
0.667335,3.75117,3.75038,3.74909
0.673347,3.74889,3.74809,3.74679
0.679359,3.7466,3.74579,3.74447
0.685371,3.74428,3.74347,3.74213
0.691383,3.74195,3.74112,3.73977
0.697395,3.7396,3.73876,3.73738
0.703407,3.73722,3.73637,3.73497
0.709419,3.73482,3.73395,3.73253
0.715431,3.73239,3.73151,3.73007
0.721443,3.72993,3.72904,3.72757
0.727455,3.72744,3.72654,3.72504
0.733467,3.72493,3.72401,3.72249
0.739479,3.72238,3.72145,3.71989
0.745491,3.71981,3.71885,3.71727
0.751503,3.7172,3.71622,3.71461
0.757515,3.71456,3.71356,3.71191
0.763527,3.71188,3.71087,3.70918
0.769539,3.70918,3.70814,3.70641
0.775551,3.70643,3.70537,3.70361
0.781563,3.70366,3.70257,3.70077
0.787575,3.70085,3.69974,3.69789
0.793587,3.69801,3.69687,3.69498
0.799599,3.69513,3.69397,3.69203
0.805611,3.69222,3.69104,3.68905
0.811623,3.68929,3.68807,3.68604
0.817635,3.68632,3.68508,3.68299
0.823647,3.68333,3.68205,3.67992
0.829659,3.68031,3.679,3.67681
0.835671,3.67727,3.67592,3.67368
0.841683,3.6742,3.67282,3.67052
