Class Hour,CO2 Level (ppm),Number of People in Room,Room Temperature (°F),Windows Open/Closed,Door Open/Closed,Activity Level (Sitting/Standing/Moving Around),Outdoor Temperature (°F)
1,831,18,77,Closed,Closed,Sitting,42
2,829,18,76,Closed,Closed,Sitting,45
3,887,22,77,Closed,Closed,Sitting,48
4,494,0,77,Closed,Closed,Sitting,49
5,465,1,77,Closed,Closed,Sitting,50
6,443,1,77,Closed,Closed,Sitting,51
7,602,12,77,Closed,Closed,Sitting,52
1,732,15,75,Closed,Closed,Sitting,42
2,669,1,75,Closed,Closed,Sitting,45
3,800,19,75,Closed,Closed,Sitting,48
4,877,19,76,Closed,Closed,Sitting,49
5,884,19,76,Closed,Closed,Sitting,50
6,493,1,75,Closed,Closed,Sitting,51
7,792,17,76,Closed,Closed,Sitting,52
1,871,17,76,,Closed,Sitting,42
2,684,0,76,,Closed,Sitting,45
3,1155,25,76,,Closed,Sitting,48
4,1081,20,77,,Closed,Sitting,49
5,944,22,77,,Closed,Sitting,50
6,645,4,77,,Closed,Sitting,51
7,630,10,77,,Open,Sitting,51
1,760,27,75,Closed,Closed,Sitting,42
2,716,14,75,Closed,Closed,Sitting,45
3,628,13,74,Closed,Closed,Sitting,48
4,748,25,74,Closed,Closed,Sitting,49
5,449,1,74,Closed,Closed,Sitting,50
6,413,0,74,Closed,Closed,,51
7,770,28,75,Closed,Closed,Sitting,51
1,836,25,74,Closed,Closed,Sitting,42
2,875,23,74,Closed,Closed,Sitting,45
3,1800*,26,75,Closed,Closed,Walking around talking loudly,48
4,Sensor replaced*,,,,,,49
5,795,22,76,Closed,Closed,Sitting,50
6,502,4,76,Closed,Closed,Sitting,51
7,630,20,76,Closed,Closed,Sitting,51
1,773,21,72,Closed,Closed,Sitting,42
2,790,21,73,Closed,Closed,Sitting,45
3,508,1,72,Closed,Closed,Sitting,48
4,674,14,73,Closed,Open,Sitting,49
5,790,20,73,Closed,Closed,Sitting,50
6,496,1,72,Closed,Closed,Sitting,51
7,700,14,73,Closed,Closed,Sitting,51
1,687,20,73,Closed,Open,Sitting,42
2,700,20,73,Closed,Open,Sitting,45
3,451,0,72,Closed,Closed,,48
4,606,16,72,Closed,Closed,Sitting,49
5,450,0,72,Closed,Closed,,50
6,440,0,72,Closed,Closed,,51
7,422,0,72,Closed,Closed,,51
1,566,1,76,Closed,Closed,Sitting,42
2,891,19,77,Closed,Closed,Sitting,45
3,893,16,77,Closed,Closed,Sitting,48
4,545,0,77,Closed,Closed,,49
5,885,17,77,Closed,Closed,Sitting,50
6,527,0,77,Closed,Open,,51
7,1126,25,77,Closed,Closed,Sitting,51
1,584,17,74,2 open,Closed,Sitting,
2,566,16,75,2 open,Closed,Sitting,
3,596,24,75,2 open,Closed,Sitting,
4,467,1,73,2 open,Open,Sitting,
5,530,20,74,1 open ,Open,Moving around,
6,458,1,73,1 open ,Open,Sitting,
7,557,19,75,1 open ,Closed,Sitting,
1,600,3,82,2 open,2 open,Sitting,42
2,617,0,81,2 open,2 open,Sitting,45
3,549,2,81,2 open,2 open,Sitting,48
4,566,25,81,2 open,2 open,Standing,49
5,544,0,80,2 open,2 open,Standing,50
6,632,25,81,4 open,1 open,Standing,51
7,490,1,80,4 open,1 open,Standing,51
1,786,16,77,Closed,Closed,Sitting,42
2,857,17,77,Closed,Closed,Sitting,45
3,1024,26,77,Closed,Closed,Sitting,48
4,973,27,77,Closed,Open,Sitting,49
5,527,0,76,Closed,Open,,50
6,587,14,76,2 Open ,Closed,Sitting,51
7,492,2,75,Closed,Open,Sitting,51
1,597,9,73,Closed,Open,Sitting,42
2,625,8,74,Closed,Open,Sitting,45
3,615,12,74,Closed,Open,Sitting,48
4,532,6,74,Closed,Open,Sitting,49
5,488,4,74,Closed,Open,Sitting,50
6,488,3,74,Closed,Open,Sitting,51
7,448,0,74,Closed,Open,Sitting,51
1,671,21,80,2 open,Open,Sitting,42
2,637,24,80,2 open,Open,Sitting,45
3,655,13,80,2 open,Open,Sitting,48
4,566,16,78,2 open,Closed,Sitting,49
5,463,0,76,2 open,Open,,50
