z,ra,dec,r,grModelColor
0.1064801,239.3167435,-0.29539613,17.38572,0.91353035
0.1106093,197.8379444,-1.47760937,17.65311,0.68825722
0.1030281,189.3427712,66.16515316,17.44379,0.60857964
0.1152808,256.4763577,58.41917372,17.66662,0.97546196
0.1073794,257.6911031,60.07768217,17.53888,3.67093658
0.1139677,259.3213023,58.46560714,16.62698,1.02448082
0.1160674,129.140386,50.07524141,16.83234,0.72089005
0.117847,142.1397633,-0.50314857,16.89281,0.81333351
0.1127377,155.7957401,-0.46966928,17.53862,0.69757843
0.1122184,183.714985,-3.01116986,16.33267,0.71037865
0.1074164,179.822005,-2.13440105,17.4511,0.69264412
0.109228,119.3859356,42.51680318,17.14225,0.74543381
0.1163352,130.0014754,52.40443876,17.51886,0.51702499
0.1105828,137.7730716,56.68546326,16.8826,0.91092873
0.1020009,146.5731806,60.37169267,17.65714,0.80753136
0.1153683,257.2488363,58.34647549,17.00736,1.03384018
0.1069543,258.0116051,59.97686069,17.08637,0.64406013
0.1063119,257.0013531,60.79447255,16.4996,0.8319931
0.106403,259.1497351,60.24341164,17.2613,0.702034
0.1157208,130.9970382,52.06018669,16.69164,0.9556179
0.1172259,127.3156105,50.75437804,16.1172,1.07012177
0.1181645,129.5975722,51.95873324,17.66804,0.52724075
0.1180841,172.9214276,66.37557995,17.25528,0.62108421
0.1188119,192.1124282,67.41881881,17.60314,0.71230125
0.1150128,117.2110952,43.21525191,17.28003,0.61236763
0.119314,26.07545889,13.63981592,16.60273,1.11017227
0.1034224,14.3279565,14.83361556,16.52436,1.03461838
0.1101265,11.4340674,15.44578269,16.30983,0.88696671
0.1199147,186.0408699,-3.05408175,16.66988,1.10275078
0.1052977,172.5063491,-2.03014782,17.51588,0.81315994
0.1129503,197.8066262,-1.5399747,16.81676,1.02850914
0.1147404,131.5012758,50.82610983,17.29514,0.89075279
0.108714,129.6705012,50.26957604,17.34636,1.00287247
0.1192277,134.6959147,54.68700352,17.40327,0.66460419
0.1129855,256.2537705,58.65567984,17.70255,0.90615654
0.1068149,257.5748899,60.57107762,17.69566,0.94737625
0.1175829,141.9915239,56.26990059,16.59484,1.04957199
0.1144502,132.4213184,51.77384238,16.64642,0.67311478
0.1187588,131.9761452,51.94667633,17.29354,1.03000641
0.108246,129.8192876,-0.44031929,17.15566,1.08297157
0.1083538,168.4996802,-0.47969832,17.62522,0.74922371
0.1067559,218.6240403,-0.47832682,17.66463,1.09158516
0.114659,132.9914253,-0.08650887,17.59673,1.01525879
0.1109458,134.1443007,-0.07578272,20.56312,0.1016407
0.1164582,62.92684985,-5.89167924,17.52506,0.98348045
0.1079772,47.06815128,-7.55222586,17.28981,1.02400589
0.1160876,47.52891169,-7.16023527,17.75826,0.79606056
0.1071073,46.73714376,-6.66829174,17.52157,0.85046959
0.1046526,47.90375687,-6.22617357,17.37435,0.72014427
0.1129631,185.6530231,-2.95723112,17.36411,1.00455093
0.1064955,200.6973282,0.15521334,17.64528,0.98105049
0.1140024,200.9381697,1.0467949,17.39748,0.70726395
0.1194204,10.25747812,14.94617227,17.1878,1.11699867
0.1134934,185.6615208,-2.9979714,16.8553,1.03419304
0.1134175,197.8028302,-1.45109454,16.43121,0.77231026
0.1098408,161.5810085,63.79508552,17.55741,0.49777603
0.1120309,189.9342191,66.12593167,17.78529,0.8897419
0.1041091,116.8853671,38.22941658,17.44996,0.64641762
0.1196264,136.302454,55.01560808,17.71964,0.40927124
0.106089,137.8083611,56.7320822,17.49822,0.95868492
0.1011508,138.695735,57.26007201,17.62361,0.56638336
0.1147365,258.547182,58.50448462,17.07363,0.88885498
0.1177756,160.7636857,61.9481667,17.51388,0.92835045
0.1029104,228.9720078,55.9424021,17.23614,0.95260239
0.1182773,130.2917296,50.3094705,16.53676,1.08759117
0.116272,161.1918872,62.89389401,16.99627,0.74027634
0.112865,136.5593327,56.52694074,17.59856,0.53472328
0.1039954,56.16826112,0.8669961,18.65359,1.0266819
0.1138679,238.2777984,-0.08272472,17.80418,1.09960938
