z,ra,dec,r,grModelColor
0.4582087,185.7852133,-0.7360168,20.51078,1.37672043
0.4488485,196.498959,-0.75657302,20.33726,1.37485504
0.4032544,221.2888533,-0.74405446,20.48704,1.63183594
0.475293,193.3847451,-0.23056762,19.6464,1.56179237
0.4619226,218.1838217,-0.28557593,20.23916,1.90147209
0.4649163,194.6945254,0.95623971,19.11701,1.67446709
0.4954517,142.8303806,-0.93315935,21.07995,1.8660984
0.419659,160.5692311,1.19941372,19.32878,1.81495857
0.4737594,160.8172395,1.16725612,20.45837,1.6582222
0.4853563,187.1405889,1.24916089,19.85992,1.83927345
0.4742774,165.6726465,-2.84511359,19.77062,1.91519356
0.4144135,160.1323594,-2.34077599,19.13938,1.89535904
0.4365861,165.7183755,-2.3699195,19.89449,1.74705696
0.4140875,166.4975435,-2.57802377,19.41265,1.90040588
0.4245852,168.0941707,-2.42366054,19.21471,1.6548233
0.4662997,189.9521497,-2.63944277,19.23737,1.76160622
0.4108363,194.254615,-2.48871786,19.00661,1.87104416
0.4251676,197.2564521,-2.19072977,19.39335,1.98030281
0.4922467,160.0763845,-1.56947815,19.83059,1.76576233
0.4744838,161.5075834,-1.65239356,20.68268,1.47072792
0.4593156,163.9117353,-1.50333449,20.03283,1.67319298
0.4440759,164.0751826,-1.59441057,22.08859,2.055933
0.4038159,169.135573,-1.62204894,19.27033,1.85746956
0.4517528,169.6159894,-1.71835302,20.60906,1.57681084
0.4869307,170.8440878,-1.26508608,19.52137,1.81799698
0.4985608,180.8849767,-1.400706,20.27436,1.82709885
0.4448869,187.0968815,-2.34623694,19.19752,1.78889275
0.4141354,197.8612122,-2.41027933,18.39822,1.65437889
0.4726599,138.3423639,-0.23499241,20.42759,1.70104599
0.4166411,141.4748475,0.14989498,18.92916,1.75342178
0.4422246,146.0733626,0.15628208,18.91234,1.87986374
0.4130709,130.448304,0.8870151,20.29256,1.84121513
0.497366,162.2489586,-1.38356754,20.38396,1.50904655
0.4770556,149.7435548,59.66054613,20.44658,1.94940948
0.4684905,176.505194,64.71733309,20.33902,1.7640419
0.4890926,155.5096499,62.62178968,20.55951,1.86163521
0.4473936,149.6418177,59.32336546,19.4417,1.77415657
0.4883414,118.4180512,40.73590517,19.79173,1.79276657
0.4888437,125.4193991,47.36898433,20.33797,1.5919323
